# 
#
#  This file is used to remove all "deflection type" corrections
#  
#  The line following is a tag :  don't remove it !
#Alignment
#Deflection
1000	0.	0.	0.	0.	0.	0.	0.0 	0
2000	0.	0.	0.	0.	0.	0.	0.0 	0
3000	0.	0.	0.	0.	0.	0.	0.0 	0
4000	0.	0.	0.	0.	0.	0.	0.0 	0
5000	0.	0.	0.	0.	0.	0.	0.0 	0
6000	0.	0.	0.	0.	0.	0.	0.0 	0
7000	0.	0.	0.	0.	0.	0.	0.0 	0
8000	0.	0.	0.	0.	0.	0.	0.0 	0
9000	0.	0.	0.	0.	0.	0.	0.0 	0
10000	0.	0.	0.	0.	0.	0.	0.0 	0
11000	0.	0.	0.	0.	0.	0.	0.0 	0
12000	0.	0.	0.	0.	0.	0.	0.0 	0
13000	0.	0.	0.	0.	0.	0.	0.0 	0
14000	0.	0.	0.	0.	0.	0.	0.0 	0
15000	0.	0.	0.	0.	0.	0.	0.0 	0
16000	0.	0.	0.	0.	0.	0.	0.0 	0
17000	0.	0.	0.	0.	0.	0.	0.0 	0
18000	0.	0.	0.	0.	0.	0.	0.0 	0
19000	0.	0.	0.	0.	0.	0.	0.0 	0
20000	0.	0.	0.	0.	0.	0.	0.0 	0
21000	0.	0.	0.	0.	0.	0.	0.0 	0
22000	0.	0.	0.	0.	0.	0.	0.0 	0
23000	0.	0.	0.	0.	0.	0.	0.0 	0
24000	0.	0.	0.	0.	0.	0.	0.0 	0
25000	0.	0.	0.	0.	0.	0.	0.0 	0
26000	0.	0.	0.	0.	0.	0.	0.0 	0
27000	0.	0.	0.	0.	0.	0.	0.0 	0
28000	0.	0.	0.	0.	0.	0.	0.0 	0
29000	0.	0.	0.	0.	0.	0.	0.0 	0
30000	0.	0.	0.	0.	0.	0.	0.0 	0
31000	0.	0.	0.	0.	0.	0.	0.0 	0
32000	0.	0.	0.	0.	0.	0.	0.0 	0
33000	0.	0.	0.	0.	0.	0.	0.0 	0
34000	0.	0.	0.	0.	0.	0.	0.0 	0
35000	0.	0.	0.	0.	0.	0.	0.0 	0
36000	0.	0.	0.	0.	0.	0.	0.0 	0
37000	0.	0.	0.	0.	0.	0.	0.0 	0
38000	0.	0.	0.	0.	0.	0.	0.0 	0
39000	0.	0.	0.	0.	0.	0.	0.0 	0
40000	0.	0.	0.	0.	0.	0.	0.0 	0
